job_id,start,end,node,file_id,file_url,file_size,last_file_state,last_process_state,ended,kafka_begin,kafka_end,kafka_alivetime
14446275,"December 21st 2020, 13:31:14.296","December 21st 2020, 13:31:14.296",dunepro-40417564-0-fnpc9025.fnal.gov,7446804,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/68/04/np04_raw_run005766_0045_dl5.root,8234071746,transferred,active,False,1608557474296,1608557474296,0.0
14446274,"December 21st 2020, 13:31:19.250","December 21st 2020, 13:31:19.250",dunepro-40417567-0-fnpc9078.fnal.gov,7440669,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/06/69/np04_raw_run005765_0003_dl8.root,8277687324,transferred,active,False,1608557479250,1608557479250,0.0
14446273,"December 21st 2020, 13:31:05.317","December 21st 2020, 13:31:05.317",dunepro-40417547-0-fnpc17122.fnal.gov,7435742,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/43/57/42/np04_raw_run005760_0001_dl5.root,8264475846,transferred,active,False,1608557465317,1608557465317,0.0
14446272,"December 21st 2020, 13:30:56.592","December 21st 2020, 13:30:56.592",dunepro-40417557-0-fnpc17106.fnal.gov,7435738,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/43/57/38/np04_raw_run005760_0001_dl8.root,8222248400,transferred,active,False,1608557456593,1608557456593,0.0
14446271,"December 21st 2020, 13:33:42.123","December 21st 2020, 13:33:42.123",dunepro-40417648-0-fnpc9027.fnal.gov,7442779,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/27/79/np04_raw_run005765_0042_dl7.root,8230403786,transferred,active,False,1608557622123,1608557622123,0.0
14446270,"December 21st 2020, 13:33:39.606","December 21st 2020, 13:33:39.606",dunepro-40417642-0-fnpc9104.fnal.gov,7441866,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/18/66/np04_raw_run005765_0020_dl1.root,8267361836,transferred,active,False,1608557619606,1608557619606,0.0
14446269,"December 21st 2020, 13:35:31.460","December 21st 2020, 13:35:31.460",wn1208241.in.tier2.hep.manchester.ac.uk,7449051,root://eospublic.cern.ch//eos/experiment/neutplatform/protodune/rawdata/np04/detector/None/raw/07/44/90/51/np04_raw_run005769_0003_dl10.root,8224158407,transferred,active,False,1608557731460,1608557731460,0.0
14446268,"December 21st 2020, 13:33:15.242","December 21st 2020, 13:33:15.242",dunepro-40417618-0-fnpc17112.fnal.gov,7442764,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/27/64/np04_raw_run005765_0037_dl4.root,8244364879,transferred,active,False,1608557595243,1608557595243,0.0
14446267,"December 21st 2020, 13:32:40.640","December 21st 2020, 13:32:40.640",dunepro-40417619-0-fnpc19134.fnal.gov,7446860,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/68/60/np04_raw_run005766_0055_dl2.root,8242675063,transferred,active,False,1608557560640,1608557560640,0.0
14446266,"December 21st 2020, 13:32:37.948","December 21st 2020, 13:32:37.948",dunepro-40417620-0-fnpc19140.fnal.gov,7446859,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/68/59/np04_raw_run005766_0055_dl10.root,8220475226,transferred,active,False,1608557557948,1608557557948,0.0
14446265,"December 21st 2020, 13:32:33.720","December 21st 2020, 13:32:33.720",dunepro-40417585-0-fnpc17140.fnal.gov,7446858,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/68/58/np04_raw_run005766_0055_dl7.root,8272886713,transferred,active,False,1608557553720,1608557553720,0.0
