"@timestamp","@version","_id","_index","_score","_type",activity,"beat_origin.hostname","beat_origin.name","beat_origin.version",bytes,"checksum-adler","created_at","dst-rse","dst-type","dst-url",duration,"event_type","file-size","host.name","kafka.consumer_group","kafka.key","kafka.offset","kafka.partition","kafka.timestamp","kafka.topic","landscape.ingestId","landscape.ingestIndex","landscape.ingestType",name,"previous-request-id",protocol,reason,"request-id",scope,"src-rse","src-type","src-url","started_at","submitted_at","tool-id","transfer-endpoint","transfer-id","transfer-link","transferred_at"
"January 25th 2020, 10:59:11.000",1,b9hb3G8BJzS0YkGfGYrK,"rucio-transfers-v0-2020.01",,logs,"User Subscriptions",c5bb5a1b2c9f,c5bb5a1b2c9f,"6.3.0","7.663GB",ffaec4b0,"January 25th 2020, 10:59:11.000","RAL_ECHO",DISK,"gsiftp://gridftp.echo.stfc.ac.uk:2811/dune:/protodune/RSE/protodune-sp/1d/b1/np04_raw_run004156_0004_dl7.root","31 minutes","transfer-done","7.663GB",c5bb5a1b2c9f,"store_rucio_logstash_prod",,"1,509,953",0,1579949955415,"ingest.rucio.transfers",,"rucio_transfer","rucio_transfer","np04_raw_run004156_0004_dl7.root",,gsiftp,,a838fe08d58e4c7d98b81467e7c4c279,"protodune-sp",MANCHESTER,DISK,"srm://bohr3226.tier2.hep.manchester.ac.uk:8446/srm/managerv2?SFN=/dpm/tier2.hep.manchester.ac.uk/home/dune/RSE/protodune-sp/1d/b1/np04_raw_run004156_0004_dl7.root","January 25th 2020, 10:12:03.000","January 24th 2020, 20:33:32.000","rucio-conveyor","https://fts3-public.cern.ch:8446","c968473c-3ee8-11ea-8351-02163e00a0d4","https://fts3-public.cern.ch:8449/fts3/ftsmon/#/job/c968473c-3ee8-11ea-8351-02163e00a0d4","January 25th 2020, 10:43:09.000"
"January 25th 2020, 10:59:02.000",1,v5pa3G8BB7gmVRVE8vHR,"rucio-transfers-v0-2020.01",,logs,"User Subscriptions",c5bb5a1b2c9f,c5bb5a1b2c9f,"6.3.0","7.682GB",967fefbd,"January 25th 2020, 10:59:02.000",LANCASTER,DISK,"gsiftp://fal-pygrid-30.lancs.ac.uk:2811/dpm/lancs.ac.uk/home/dune/protodune-sp/fb/e2/np04_raw_run004858_0031_dl6.root","34 minutes","transfer-done","7.682GB",c5bb5a1b2c9f,"store_rucio_logstash_prod",,"1,509,952",0,1579949945424,"ingest.rucio.transfers",,"rucio_transfer","rucio_transfer","np04_raw_run004858_0031_dl6.root",,gsiftp,,5a78ce0f43f944a6b8feb5cbddeb4996,"protodune-sp","RAL_ECHO",DISK,"gsiftp://gridftp.echo.stfc.ac.uk:2811/dune:/protodune/RSE/protodune-sp/fb/e2/np04_raw_run004858_0031_dl6.root","January 25th 2020, 10:07:29.000","January 24th 2020, 00:04:18.000","rucio-conveyor","https://fts3-public.cern.ch:8446","10e75f50-3e3d-11ea-b796-02163e00cbd2","https://fts3-public.cern.ch:8449/fts3/ftsmon/#/job/10e75f50-3e3d-11ea-b796-02163e00cbd2","January 25th 2020, 10:41:47.000"
"January 25th 2020, 10:59:02.000",1,"htha3G8BJzS0YkGf8n_c","rucio-transfers-v0-2020.01",,logs,"User Subscriptions",c5bb5a1b2c9f,c5bb5a1b2c9f,"6.3.0","7.684GB",6662b42c,"January 25th 2020, 10:59:02.000","RAL_ECHO",DISK,"gsiftp://gridftp.echo.stfc.ac.uk:2811/dune:/protodune/RSE/protodune-sp/c3/52/np04_raw_run004832_0032_dl1.root","31 minutes","transfer-done","7.684GB",c5bb5a1b2c9f,"store_rucio_logstash_prod",,"1,509,949",0,1579949945424,"ingest.rucio.transfers",,"rucio_transfer","rucio_transfer","np04_raw_run004832_0032_dl1.root",,gsiftp,,1c05b16db44e47f2b7cccaa981497bd9,"protodune-sp",MANCHESTER,DISK,"srm://bohr3226.tier2.hep.manchester.ac.uk:8446/srm/managerv2?SFN=/dpm/tier2.hep.manchester.ac.uk/home/dune/RSE/protodune-sp/c3/52/np04_raw_run004832_0032_dl1.root","January 25th 2020, 10:26:08.000","January 24th 2020, 21:53:36.000","rucio-conveyor","https://fts3-public.cern.ch:8446","f9225ac0-3ef3-11ea-9c7a-02163e00cbd2","https://fts3-public.cern.ch:8449/fts3/ftsmon/#/job/f9225ac0-3ef3-11ea-9c7a-02163e00cbd2","January 25th 2020, 10:57:04.000"
"January 25th 2020, 10:59:02.000",1,"h9ha3G8BJzS0YkGf8n_c","rucio-transfers-v0-2020.01",,logs,"User Subscriptions",c5bb5a1b2c9f,c5bb5a1b2c9f,"6.3.0","7.675GB",991b43c6,"January 25th 2020, 10:59:02.000","RAL_ECHO",DISK,"gsiftp://gridftp.echo.stfc.ac.uk:2811/dune:/protodune/RSE/protodune-sp/fd/f0/np04_raw_run004832_0034_dl7.root","32 minutes","transfer-done","7.675GB",c5bb5a1b2c9f,"store_rucio_logstash_prod",,"1,509,950",0,1579949945424,"ingest.rucio.transfers",,"rucio_transfer","rucio_transfer","np04_raw_run004832_0034_dl7.root",,gsiftp,,c76a6ff666464ee19a6960d21b8f864c,"protodune-sp",MANCHESTER,DISK,"srm://bohr3226.tier2.hep.manchester.ac.uk:8446/srm/managerv2?SFN=/dpm/tier2.hep.manchester.ac.uk/home/dune/RSE/protodune-sp/fd/f0/np04_raw_run004832_0034_dl7.root","January 25th 2020, 10:21:35.000","January 24th 2020, 21:52:34.000","rucio-conveyor","https://fts3-public.cern.ch:8446","d45adb9a-3ef3-11ea-8068-02163e006de7","https://fts3-public.cern.ch:8449/fts3/ftsmon/#/job/d45adb9a-3ef3-11ea-8068-02163e006de7","January 25th 2020, 10:53:59.000"
"January 25th 2020, 10:59:02.000",1,wppa3G8BB7gmVRVE8vHR,"rucio-transfers-v0-2020.01",,logs,"User Subscriptions",c5bb5a1b2c9f,c5bb5a1b2c9f,"6.3.0","192.051MB",655deb8c,"January 25th 2020, 10:59:02.000","RAL_ECHO",DISK,"gsiftp://gridftp.echo.stfc.ac.uk:2811/dune:/protodune/RSE/protodune-sp/ed/d3/np04_raw_run002713_2_dl1.root","a few seconds","transfer-done","192.051MB",c5bb5a1b2c9f,"store_rucio_logstash_prod",,"1,509,948",0,1579949945424,"ingest.rucio.transfers",,"rucio_transfer","rucio_transfer","np04_raw_run002713_2_dl1.root",,gsiftp,,1480353e26eb494186710b61f547370b,"protodune-sp","FNAL_DCACHE",TAPE,"srm://fndca4a.fnal.gov:8443/srm/managerv2?SFN=/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/detector/None/raw/03/51/27/51/np04_raw_run002713_2_dl1.root","January 25th 2020, 10:48:02.000","January 24th 2020, 16:44:38.000","rucio-conveyor","https://fts3-public.cern.ch:8446","cfb2b318-3ec8-11ea-9e2f-02163e00a0d4","https://fts3-public.cern.ch:8449/fts3/ftsmon/#/job/cfb2b318-3ec8-11ea-9e2f-02163e00a0d4","January 25th 2020, 10:48:31.000"
"January 25th 2020, 10:59:02.000",1,"lNha3G8BJzS0YkGf8n_l","rucio-transfers-v0-2020.01",,logs,"User Subscriptions",c5bb5a1b2c9f,c5bb5a1b2c9f,"6.3.0","7.684GB",cf66d77b,"January 25th 2020, 10:59:02.000","RAL_ECHO",DISK,"gsiftp://gridftp.echo.stfc.ac.uk:2811/dune:/protodune/RSE/protodune-sp/9c/0a/np04_raw_run004832_0025_dl6.root","33 minutes","transfer-done","7.684GB",c5bb5a1b2c9f,"store_rucio_logstash_prod",,"1,509,951",0,1579949945424,"ingest.rucio.transfers",,"rucio_transfer","rucio_transfer","np04_raw_run004832_0025_dl6.root",,gsiftp,,ab4ae78df12a484cbcc9de5ce0ffe02e,"protodune-sp",MANCHESTER,DISK,"srm://bohr3226.tier2.hep.manchester.ac.uk:8446/srm/managerv2?SFN=/dpm/tier2.hep.manchester.ac.uk/home/dune/RSE/protodune-sp/9c/0a/np04_raw_run004832_0025_dl6.root","January 25th 2020, 10:20:57.000","January 24th 2020, 21:52:24.000","rucio-conveyor","https://fts3-public.cern.ch:8446","cdf12692-3ef3-11ea-8452-02163e00d613","https://fts3-public.cern.ch:8449/fts3/ftsmon/#/job/cdf12692-3ef3-11ea-8452-02163e00d613","January 25th 2020, 10:53:49.000"
"January 25th 2020, 10:59:00.000",1,w5pa3G8BB7gmVRVE8vHS,"rucio-transfers-v0-2020.01",,logs,"User Subscriptions",c5bb5a1b2c9f,c5bb5a1b2c9f,"6.3.0","2.185GB",0373942f,"January 25th 2020, 10:59:00.000","RAL_ECHO",DISK,"gsiftp://gridftp.echo.stfc.ac.uk:2811/dune:/protodune/RSE/protodune-sp/83/7d/np04_raw_run004586_0005_dl10.root","11 minutes","transfer-done","2.185GB",c5bb5a1b2c9f,"store_rucio_logstash_prod",,"1,509,946",0,1579949945424,"ingest.rucio.transfers",,"rucio_transfer","rucio_transfer","np04_raw_run004586_0005_dl10.root",,gsiftp,,21f3ace3a1e34f3e9ee6b81362e46d81,"protodune-sp",MANCHESTER,DISK,"srm://bohr3226.tier2.hep.manchester.ac.uk:8446/srm/managerv2?SFN=/dpm/tier2.hep.manchester.ac.uk/home/dune/RSE/protodune-sp/83/7d/np04_raw_run004586_0005_dl10.root","January 25th 2020, 10:44:04.000","January 24th 2020, 20:50:27.000","rucio-conveyor","https://fts3-public.cern.ch:8446","26d83470-3eeb-11ea-8893-02163e00cbd2","https://fts3-public.cern.ch:8449/fts3/ftsmon/#/job/26d83470-3eeb-11ea-8893-02163e00cbd2","January 25th 2020, 10:55:12.000"
"January 25th 2020, 10:59:00.000",1,xJpa3G8BB7gmVRVE8vHS,"rucio-transfers-v0-2020.01",,logs,"User Subscriptions",c5bb5a1b2c9f,c5bb5a1b2c9f,"6.3.0","2.193GB",0c9fc39f,"January 25th 2020, 10:59:00.000","RAL_ECHO",DISK,"gsiftp://gridftp.echo.stfc.ac.uk:2811/dune:/protodune/RSE/protodune-sp/ef/55/np04_raw_run004586_0007_dl10.root","10 minutes","transfer-done","2.193GB",c5bb5a1b2c9f,"store_rucio_logstash_prod",,"1,509,947",0,1579949945424,"ingest.rucio.transfers",,"rucio_transfer","rucio_transfer","np04_raw_run004586_0007_dl10.root",,gsiftp,,cb562f04fc6343e9b13faa2ad2b65b07,"protodune-sp",MANCHESTER,DISK,"srm://bohr3226.tier2.hep.manchester.ac.uk:8446/srm/managerv2?SFN=/dpm/tier2.hep.manchester.ac.uk/home/dune/RSE/protodune-sp/ef/55/np04_raw_run004586_0007_dl10.root","January 25th 2020, 10:37:33.000","January 24th 2020, 20:49:40.000","rucio-conveyor","https://fts3-public.cern.ch:8446","0a738082-3eeb-11ea-8bef-02163e006de7","https://fts3-public.cern.ch:8449/fts3/ftsmon/#/job/0a738082-3eeb-11ea-8bef-02163e006de7","January 25th 2020, 10:47:03.000"
"January 25th 2020, 10:58:58.000",1,"eNha3G8BJzS0YkGf8n_C","rucio-transfers-v0-2020.01",,logs,"User Subscriptions",c5bb5a1b2c9f,c5bb5a1b2c9f,"6.3.0","7.688GB",ddd9d60b,"January 25th 2020, 10:58:58.000",LANCASTER,DISK,"gsiftp://fal-pygrid-30.lancs.ac.uk:2811/dpm/lancs.ac.uk/home/dune/protodune-sp/9d/f2/np04_raw_run004865_0008_dl7.root","33 minutes","transfer-done","7.688GB",c5bb5a1b2c9f,"store_rucio_logstash_prod",,"1,509,945",0,1579949945424,"ingest.rucio.transfers",,"rucio_transfer","rucio_transfer","np04_raw_run004865_0008_dl7.root",,gsiftp,,e7ce418aea2747a48ab6dd4fb2f1b1aa,"protodune-sp","RAL_ECHO",DISK,"gsiftp://gridftp.echo.stfc.ac.uk:2811/dune:/protodune/RSE/protodune-sp/9d/f2/np04_raw_run004865_0008_dl7.root","January 25th 2020, 10:09:52.000","January 24th 2020, 00:11:15.000","rucio-conveyor","https://fts3-public.cern.ch:8446","09256f2c-3e3e-11ea-9dbc-02163e006de7","https://fts3-public.cern.ch:8449/fts3/ftsmon/#/job/09256f2c-3e3e-11ea-9dbc-02163e006de7","January 25th 2020, 10:42:23.000"
"January 25th 2020, 10:58:58.000",1,"dNha3G8BJzS0YkGf8n-6","rucio-transfers-v0-2020.01",,logs,"User Subscriptions",c5bb5a1b2c9f,c5bb5a1b2c9f,"6.3.0","7.696GB",3ab4be70,"January 25th 2020, 10:58:58.000",LANCASTER,DISK,"gsiftp://fal-pygrid-30.lancs.ac.uk:2811/dpm/lancs.ac.uk/home/dune/protodune-sp/da/0f/np04_raw_run004865_0081_dl5.root","35 minutes","transfer-done","7.696GB",c5bb5a1b2c9f,"store_rucio_logstash_prod",,"1,509,944",0,1579949945416,"ingest.rucio.transfers",,"rucio_transfer","rucio_transfer","np04_raw_run004865_0081_dl5.root",,gsiftp,,f9d326f318c640879c1409aeb60c27f0,"protodune-sp","RAL_ECHO",DISK,"gsiftp://gridftp.echo.stfc.ac.uk:2811/dune:/protodune/RSE/protodune-sp/da/0f/np04_raw_run004865_0081_dl5.root","January 25th 2020, 10:14:45.000","January 24th 2020, 00:07:31.000","rucio-conveyor","https://fts3-public.cern.ch:8446","84245806-3e3d-11ea-ad1f-02163e00cbd2","https://fts3-public.cern.ch:8449/fts3/ftsmon/#/job/84245806-3e3d-11ea-ad1f-02163e00cbd2","January 25th 2020, 10:49:18.000"
